Salesperson,ProductClass,Year,Month,Invoice,QtyInvoiced,NetSalesValue,TargetSales,CustomerClass
SM-SC,DVG,2023,1,10000025,1.0,52.8,276849.2018,CTRD-KA
SM-JW,DVG,2023,1,10000026,1.0,30.02,387911.0545,CTRD-HRC
SM-JW,DVG,2023,1,10000026,1.0,29.5,387911.0545,CTRD-HRC
SM-JW,DVG,2023,1,10000026,2.0,66.98,387911.0545,CTRD-HRC
SM-JW,DVG,2023,1,10000027,12.0,432.0,387911.0545,CTRD-HRC
SM-JW,DVG,2023,1,10000028,36.0,1062.0,387911.0545,CTRD-KA
SM-JW,DVG,2023,1,10000028,36.0,1062.0,387911.0545,CTRD-KA
SM-JW,DVG,2023,1,10000028,48.0,1416.0,387911.0545,CTRD-KA
SM-JW,DVG,2023,1,10000028,36.0,1080.0,387911.0545,CTRD-KA
SM-JW,DVG,2023,1,10000028,45.0,1732.5,387911.0545,CTRD-KA
SM-JW,DVG,2023,1,10000028,15.0,577.5,387911.0545,CTRD-KA
SM-JW,DVG,2023,1,10000028,3.0,146.25,387911.0545,CTRD-KA
SM-JW,DVG,2023,1,10000028,15.0,708.75,387911.0545,CTRD-KA
SM-JW,DVG,2023,1,10000028,12.0,594.0,387911.0545,CTRD-KA
SM-JW,DVG,2023,1,10000028,12.0,567.0,387911.0545,CTRD-KA
SM-JW,DVG,2023,1,10000028,40.0,1530.0,387911.0545,CTRD-KA
SM-JW,DVG,2023,1,10000028,16.0,576.0,387911.0545,CTRD-KA
SM-SC,DVG,2023,1,10000029,1.0,29.25,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000029,1.0,29.25,276849.2018,CTRD-KA
SM-SC,ACC,2023,1,10000029,3.0,25.2,276849.2018,CTRD-KA
SM-SC,ACC,2023,1,10000029,1.0,30.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000029,1.0,30.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000030,2.0,90.0,276849.2018,CTRD-HRC
SM-SH,DVG,2023,1,10000031,2.0,64.0,277336.6064,CTRD-HRC
SM-SH,TEA,2023,1,10000031,1.0,128.0,6134.5,CTRD-HRC
SM-SH,TEA,2023,1,10000031,1.0,140.0,6134.5,CTRD-HRC
SM-SH,FG,2023,1,10000032,24.0,960.0,71500.0,CTRD-HRC
SM-SH,TEA,2023,1,10000032,1.0,48.0,6134.5,CTRD-HRC
